"mes";"A1";"pais";"ccaa";"A13";"aloja";"motivo";"A16";"gastototal";"gastomedio"
1;2;5;4;2;1;1;6;461.07327498;230.53663749
1;2;5;4;9;3;1;6;635.60673655;70.6229707277778
1;2;5;4;3;1;1;6;589.9639228;196.654640933333
1;2;5;4;3;1;1;6;632.71403414;210.904678046667
1;2;1;4;7;3;1;6;645.30725183;92.1867502614286
1;2;10;13;17;3;3;6;1621.8479176;95.4028186823529
1;2;10;13;7;3;3;6;746.99184942;106.713121345714
1;2;5;4;5;3;2;6;564.78312143;112.956624286
1;2;5;4;30;3;2;6;1288.805774;42.9601924666667
1;2;1;4;7;3;3;6;645.30725183;92.1867502614286
1;2;5;4;14;3;1;6;856.47266512;61.1766189371429
1;2;5;4;10;3;1;6;678.14058169;67.814058169
1;2;5;4;30;3;3;6;1443.7279877;48.1242662566667
1;2;5;4;1;3;2;6;250.73116268;250.73116268
1;2;5;4;9;1;2;6;934.92361728;103.88040192
1;2;5;4;2;3;1;6;362.04842167;181.024210835
1;2;5;4;30;3;1;6;1443.7279877;48.1242662566667
1;2;1;4;5;1;1;6;936.46548372;187.293096744
1;2;1;4;2;3;3;6;415.56697672;207.78348836
1;2;5;4;7;3;1;6;547.27369463;78.1819563757143
1;2;5;4;2;1;1;6;489.57334921;244.786674605
1;2;1;4;5;3;1;6;402.11793722;80.423587444
1;2;2;10;6;3;1;6;1119.3686545;186.561442416667
1;2;2;14;14;3;1;6;1731.1513658;123.653668985714
1;2;14;14;7;2;1;6;1375.544725;196.506389285714
1;2;10;13;6;1;1;6;1462.8135828;243.8022638
1;2;10;13;14;3;1;6;1346.1490617;96.1535044071428
1;2;2;14;8;3;3;6;832.54142192;104.06767774
1;2;2;10;7;2;1;6;972.85102129;138.978717327143
1;2;2;14;7;1;1;6;884.1121421;126.301734585714
1;2;2;14;3;1;3;6;899.40018243;299.80006081
1;2;2;14;3;3;1;6;513.73508541;171.24502847
1;2;2;14;90;3;1;6;5404.6415317;60.0515725744444
1;2;2;10;3;3;1;6;501.881497;167.293832333333
1;2;2;14;6;3;1;6;602.89749739;100.482916231667
1;2;2;14;6;3;3;6;463.18579526;77.1976325433333
1;2;2;14;14;3;1;6;1496.7482536;106.910589542857
1;2;2;14;30;3;1;6;2298.2812219;76.6093740633333
1;2;2;14;9;3;1;6;758.58323537;84.2870261522222
1;2;2;14;3;3;2;6;469.14306719;156.381022396667
1;2;10;13;7;1;1;6;1516.005413;216.572201857143
1;2;2;14;3;3;1;6;465.00840275;155.002800916667
