mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
022019;2;20170100001484;2;2;10;13;17;3;3;6;1646.1875522;451.59419782
022019;2;20170100029546;2;2;10;13;6;1;1;6;1487.3843128;1034.5121536
022019;2;20170100030165;2;2;10;13;14;3;1;6;1364.4331635;678.99194051
022019;2;20170200000875;2;2;01;04;1;1;2;6;257.68156777;32.979774167
022019;2;20170200006024;2;2;10;13;7;1;1;6;1539.0014525;1999.9913293
022019;2;20170200009279;2;2;01;04;10;3;1;6;850.09853415;25.713290291
022019;2;20170200013186;2;2;15;13;10;1;1;6;3636.6557595;84.962394401
022019;2;20170200014097;2;2;15;09;5;1;1;1;1764.3781832;1749.3281118
022019;2;20170200023264;8;2;15;16;3;1;1;6;2824.2141042;838.07764196
022019;2;20170200023821;2;2;15;09;5;1;2;6;2645.67771;614.10406281
022019;2;20170200026538;2;2;10;13;3;3;1;6;875.28554034;678.99194051
022019;2;20170200028692;2;2;15;13;1;1;2;6;2063.593065;1414.343559
022019;2;20170300005125;2;2;15;09;4;1;1;6;2623.3672667;867.63717726
022019;2;20170300005199;2;2;15;13;6;1;1;6;2846.7790004;642.7044569
022019;2;20170300016399;2;2;15;03;3;3;3;6;2118.7132779;591.65741953
022019;2;20180100001325;2;2;10;07;14;3;3;6;522.08021099;215.29049244
022019;2;20180100003843;2;2;10;15;10;3;3;6;1036.8457592;190.10821176
022019;2;20180100023119;2;2;15;01;6;1;1;1;1024.4882451;425.91982859
022019;2;20180100023248;2;2;10;13;7;1;2;6;1976.2794882;1298.8252643
022019;2;20180200002131;2;2;14;01;4;1;2;6;1619.7694672;151.40159113
022019;2;20180200002265;2;4;11;09;5;1;1;6;997.28486123;55.514720826
022019;2;20180200003218;8;4;01;16;2;1;1;6;533.45852963;181.10256847
022019;2;20180200003223;2;4;09;13;1;1;1;6;347.69846108;110.74077238
022019;2;20180200003228;2;4;07;13;4;1;2;6;805.32262574;30.050497235
022019;2;20180200004786;8;2;14;13;14;1;1;6;3266.3807318;8.5138506659
022019;2;20180200005168;2;4;08;13;4;1;1;6;697.76792155;106.85154055
022019;2;20180200007177;2;2;02;04;7;3;3;6;446.25577667;104.87143726
022019;2;20180200007178;2;2;02;04;2;3;1;6;474.76548394;34.290605816
022019;2;20180200007179;2;2;02;04;2;1;2;6;660.82603909;34.792189364
022019;2;20180200007180;2;2;02;04;8;3;1;6;788.1788117;34.290605816
022019;2;20180200007272;2;2;02;04;10;3;1;6;862.37069476;34.290605816
022019;2;20180200007275;2;2;02;04;8;2;1;6;1265.4288655;226.6708796
022019;2;20180200007790;2;4;05;09;12;3;1;6;646.65725386;68.452335584
022019;2;20180200007798;2;4;08;09;15;1;1;6;1411.2124128;2.9729319368
022019;2;20180200007799;2;4;08;01;3;1;1;6;525.06006175;57.662938512
022019;2;20180200007849;2;4;08;01;10;3;1;6;1022.511266;41.289459822
022019;2;20180200008426;2;2;14;09;5;1;2;6;2060.6761311;260.20559438
022019;2;20180200008830;2;1;07;01;1;1;2;6;207.50338069;4549.2244019
022019;2;20180200008839;2;1;07;13;2;1;2;6;404.19842794;4603.720502
022019;2;20180200009252;2;2;10;16;4;1;2;6;1756.0234678;677.3155267
022019;2;20180200009627;2;2;02;04;4;3;3;6;601.17461603;20.974287453
022019;2;20180200009628;2;2;02;04;7;3;1;6;718.43707533;68.581211632
022019;2;20180200009681;2;2;02;04;4;3;1;6;973.23458931;68.581211632
022019;2;20180200009682;2;2;02;04;30;3;1;6;1628.3808537;31.535773062
022019;2;20180200009684;2;2;02;04;7;1;1;6;1092.9581292;34.920814015
022019;2;20180200010438;8;1;07;10;1;1;3;6;211.48867221;2304.095737
022019;2;20180200010441;8;1;07;07;1;1;3;6;98.279878131;2329.1007314
022019;2;20180200012635;2;1;07;11;2;3;1;6;93.465138202;7687.8279223
022019;2;20180200012651;2;4;01;09;1;1;3;6;398.15940954;77.227054077
022019;2;20180200012683;2;4;09;09;10;3;1;6;565.23592094;73.675672605
022019;2;20180200013779;2;4;07;12;3;3;3;6;173.26034129;27.685357856
022019;2;20180200013781;2;4;07;12;4;3;3;6;305.0291379;27.685357856
022019;2;20180200013784;8;4;12;02;1;1;3;6;349.09951676;129.78463529
022019;2;20180200014163;2;4;07;13;4;1;1;6;686.67278445;64.652545033
022019;2;20180200014166;2;4;07;13;3;3;3;6;63.152028811;60.204698753
022019;2;20180200014176;8;4;01;09;3;1;1;6;690.11500916;126.18431833
