A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170400000334;01;13;4
20170400000335;01;13;3
20170400000336;01;13;4
20170400000336;02;08;2
20170400000336;03;08;2
20170400005650;01;12;7
20170500008084;01;13;6
20170500018146;01;04;7
20170500018147;01;04;10
20170500030903;01;04;3
20170500030914;01;04;5
20170500030915;01;04;5
20170500030946;01;04;4
20170500030955;01;04;5
20170500030957;01;04;3
20170500030958;01;04;3
20170500030959;01;04;3
20170500033904;01;04;6
20170500033905;01;04;2
20170500033906;01;04;7
20170500033964;01;04;4
20170500033965;01;04;7
20170500033966;01;04;4
20170600033257;01;16;3
20180400003010;01;14;6
20180400003013;01;10;7
20180400003014;01;16;3
20180400003014;02;10;7
20180400003063;01;14;7
20180400003065;01;10;7
20180400003066;01;10;7
20180400003457;01;13;2
20180400004149;01;04;4
20180400030631;01;13;4
20180400030637;01;13;4
20180500001312;01;16;5
20180500001321;01;01;32
20180500001321;02;07;1
20180500001505;01;01;17
20180500010751;01;01;1
20180500010751;02;15;1
20180500010751;03;01;3
20180500010751;04;09;1
20180500010751;05;01;1
20180500015507;01;10;4
20180500017415;01;16;2
20180500017415;02;17;1
20180500023756;01;10;60
20180500023757;01;10;4
20180500023757;02;10;23
20180500023994;01;07;1
20180500023997;01;07;2
20180500023997;02;15;1
20180500024947;01;04;21
20180500027964;01;12;2
20180500032555;01;04;7
20180500032556;01;04;7
20180500032576;01;04;8
20180500032577;01;04;7
20180500032579;01;04;7
20180500038301;01;16;1
20180500038356;01;14;21
20180500038357;01;10;14
20180500038395;01;14;6
20180500038396;01;14;7
20180500038696;01;04;7
20180500038697;01;04;6
20180500038699;01;04;7
20180500038728;01;04;7
20180500038729;01;04;7
20180500038730;01;04;7
20180500038731;01;04;14
20180500038882;01;01;5
20180500038882;02;12;2
20180500038882;03;06;1
20180500038882;04;09;3
20180500038882;05;14;2
20180500038882;06;01;2
20180500038882;07;01;1
20180500038882;08;01;1
20180500038882;09;12;1
20180600006573;01;04;3
20180600006574;01;04;60
20180600012991;01;04;6
20180600012993;01;04;7
20180600024211;01;04;7
20180600024212;01;04;7
20180600024342;01;04;7
20180600024343;01;04;7
20180600029262;01;04;4
20180600029549;01;04;7
20180600029550;01;04;7
20180600029551;01;04;7
20180600039936;01;13;1
20180600039936;02;09;1
20180600039936;03;10;1
20180600039936;04;02;1
20180600039988;01;10;10
20180600040033;01;10;15
20180600041287;01;04;4
20180600042595;01;04;7
20180600042596;01;04;7
20180600043320;01;13;5
20180600043320;02;01;2
20180600043320;03;01;2
20190400000434;01;10;4
20190400000436;01;13;1
20190400000437;01;04;4
20190400000774;01;15;4
20190400000780;01;09;3
20190400000782;01;09;4
20190400000788;01;09;15
20190400000794;01;09;5
20190400000801;01;09;3
20190400000810;01;09;3
20190400000816;01;09;1
20190400000820;01;09;4
20190400000840;01;09;60
20190400000851;01;13;4
20190400000853;01;09;2
20190400000869;01;13;4
20190400000876;01;09;2
20190400001331;01;10;3
20190400001333;01;10;4
20190400001358;01;10;2
20190400001388;01;10;6
20190400002473;01;09;3
20190400002501;01;09;7
20190400003490;01;10;2
20190400003491;01;10;3
20190400003546;01;10;3
20190400003549;01;10;2
20190400003549;02;13;4
20190400003550;01;10;4
20190400004196;01;13;2
20190400004821;01;13;1
20190400004902;01;06;7
20190400005105;01;12;6
20190400005110;01;12;5
20190400005117;01;12;1
20190400006197;01;10;3
20190400006212;01;10;4
20190400006215;01;10;4
20190400006241;01;10;7
20190400006962;01;16;2
20190400006962;02;16;1
20190400007386;01;04;3
20190400007387;01;04;6
20190400007417;01;04;6
20190400007759;01;04;2
20190400007903;01;04;4
20190400007904;01;04;4
20190400008916;01;09;5
20190400008916;02;13;3
20190400008955;01;10;2
20190400008956;01;10;2
20190400008957;01;14;2
20190400008998;01;14;6
20190400008999;01;10;3
20190400009000;01;10;2
20190400009013;01;13;1
20190400009014;01;13;3
20190400009014;02;08;1
20190400009014;03;07;1
20190400009018;01;13;3
20190400009018;02;01;2
20190400009018;03;01;4
20190400009842;01;12;2
20190400010047;01;01;80
20190400010329;01;14;3
20190400010331;01;10;3
20190400010377;01;10;3
20190400011735;01;09;4
20190400011735;02;01;2
20190400011735;03;10;3
20190400011736;01;09;4
20190400011736;02;13;1
20190400011736;03;01;1
20190400011736;04;01;1
20190400011736;05;01;1
20190400011736;06;05;1
20190400011920;01;09;3
20190400011921;01;09;3
20190400012058;01;01;1
20190400012396;01;13;1
20190400012399;01;13;2
20190400012403;01;13;1
20190400012971;01;04;7
20190400013993;01;09;45
20190400014000;01;10;4
20190400014000;02;09;1
20190400014010;01;13;18
20190400014014;01;09;5
20190400014029;01;09;7
20190400014036;01;09;2
20190400014038;01;13;2
20190400014038;02;09;4
20190400014047;01;10;3
20190400014052;01;13;2
20190400014052;02;09;8
20190400014059;01;13;2
20190400014059;02;09;3
20190400014059;03;08;1
20190400014064;01;09;3
20190400014072;01;09;4
20190400014844;01;09;4
20190400015073;01;10;2
20190400015073;02;01;2
20190400015073;03;16;1
20190400015093;01;16;3
20190400015436;01;08;1
20190400015436;02;09;1
20190400015489;01;09;4
20190400015497;01;09;7
20190400015501;01;13;5
20190400015521;01;09;3
20190400015525;01;09;3
20190400015531;01;09;2
20190400015537;01;13;7
20190400015537;02;10;8
20190400015545;01;09;4
20190400015550;01;09;5
20190400015559;01;09;2
20190400015569;01;09;10
20190400016126;01;13;2
20190400016126;02;09;2
20190400016126;03;01;2
20190400017039;01;02;1
20190400018107;01;14;12
20190400018600;01;09;2
20190400018604;01;09;42
20190400018780;01;09;1
20190400018873;01;10;7
20190400018933;01;14;3
20190400019012;01;09;7
20190400019071;01;09;2
20190400020081;01;16;1
20190400020240;01;12;2
20190400020244;01;12;2
20190400020249;01;12;4
20190400020746;01;13;2
20190400020746;02;13;8
20190400020747;01;08;20
20190400020747;02;13;7
20190400020748;01;13;3
20190400020748;02;01;5
20190400021133;01;15;14
20190400021968;01;08;2
20190400021991;01;11;2
20190400022005;01;01;6
20190400022010;01;13;4
20190400022010;02;09;5
20190400022012;01;09;30
20190400022013;01;09;5
20190400022073;01;05;4
20190400022074;01;09;7
20190400022076;01;09;6
20190400023038;01;07;3
20190400023052;01;07;2
20190400023310;01;10;7
20190400023311;01;10;60
20190400023312;01;10;7
20190400023363;01;10;7
20190400024737;01;16;10
20190400024737;02;06;10
20190400024757;01;09;2
20190400024760;01;09;4
20190400024768;01;13;1
20190400024768;02;09;1
20190400024797;01;09;1
20190400025490;01;10;7
20190400025491;01;14;7
